x,y,fitness,x position,y velocity,model
58,38,-149.86216290796943,0.24,-1.86,"[ 0.73030655  1.6910009   0.59852975 -0.90862727  1.3851223  -2.89927558
 -1.15935695  0.14625215  0.2063533   1.52445746 -1.24911681 -0.60144149
  0.44162341 -0.17561552 -0.53634967 -0.62920702 -0.38188294 -0.39013493
  0.77805848  0.65183655 -0.78662654  2.01099249  0.48664406 -0.70163385
 -0.2457465  -0.77449379  2.06877397  0.76829411  0.22789156  0.93428
  0.30376511  0.56889519]"
50,99,-159.2069420492174,0.0,-0.03,"[ 1.00481747 -1.27180339  0.42266793  1.11114277  0.03548365 -0.36924941
  1.43567421 -1.16540535 -0.35663484 -1.21484378  0.87152193 -1.44096035
  0.04329445 -0.00719183  0.0366733   0.14013767  0.06871299 -1.51036071
  0.31032826 -1.25884947  0.54814564  2.6441357   0.09022712 -0.17441233
  0.42169827 -0.23159646  0.62824868  1.44515078 -0.14148294  0.43547786
  0.40677447 -0.73306208]"
80,53,-267.2326328803922,0.9,-1.41,"[-1.28366478 -0.3787764   0.45392743 -1.34821976 -0.98715969  0.10464441
  0.03482259 -0.89735688  0.45108007 -0.03355263  0.29197355  2.08445852
  1.55766936 -1.75526638 -0.11450709  1.8778581  -1.4432123  -0.99358116
  1.06573147 -1.80863863 -2.05861874 -0.06486707  1.26512619 -1.01769431
  0.32009008 -0.87293101 -0.59568917  1.0146406  -0.63704529 -0.16742874
 -0.72249378  1.79019213]"
76,99,-474.67852383839806,0.78,-0.03,"[ 3.99446233e-01  2.67510811e-01 -9.93698511e-01 -1.24336647e+00
 -2.20151982e+00 -4.95056476e-01  1.09085166e-01  4.30597358e-02
 -1.43134965e+00  2.77960328e-01 -9.26663016e-01 -1.19716106e-01
  2.67447354e-01  4.00890705e-01  5.49116063e-01  9.95617456e-01
  5.22128512e-01  9.59274355e-01 -8.04666146e-01 -1.50306063e+00
 -2.06111836e-01  8.36764498e-01  2.74524303e-01 -2.18493559e-01
  1.06156682e+00  2.21760680e-01 -2.07864084e-03 -2.62713799e-01
 -1.87973871e-01  6.93577047e-01  1.77687648e+00  4.83110141e-02]"
56,40,-164.65641627041867,0.18,-1.8,"[-0.28413305  1.34603038  0.16383077 -0.78585762  0.6276062   1.80405968
 -1.59264678  0.48548885 -1.35404107  2.02016985 -0.05157119  0.53773281
 -0.12977848 -0.16200845 -1.70383084 -0.07393402 -0.08074418 -0.9213465
 -1.57461925 -0.66919389  1.4232435  -1.26368539  0.99775679  0.64399826
  0.49641124  1.15083113  0.07122022 -0.99565455  0.42038603 -1.42196577
 -1.18500607 -0.96846911]"
58,37,-159.31700721645439,0.24,-1.89,"[-0.83073782  0.48535881  2.38632855 -0.20755371  0.27968757  0.43818742
 -0.51840824 -0.68100371  0.00911303 -0.49335749 -1.41938259  0.16057125
  1.11526603  2.1630614   0.65674859 -1.09601845 -1.57951085 -0.63284281
 -0.91082727 -0.87778576  2.06400817 -0.92846328 -0.65293803 -0.84794142
  1.78404866 -1.22698747  0.73600226 -0.32083335 -0.3982384  -0.79462725
  1.18519329  1.58689982]"
62,73,-101.43043384053561,0.36,-0.81,"[-1.02442617  1.11645361  1.80763277 -0.10532152 -1.30299969 -0.59960208
  1.05634608  1.23357571  0.94962481  0.40504033 -0.63487735  1.42045226
  1.05843606  1.20753293 -0.01480314  0.2209026   1.97111473 -1.14723114
 -0.19945982 -1.59451222  0.08825339 -1.39565804 -0.28651382 -1.07703354
  0.38706533  0.12106797  0.56339887  1.58321484  0.4446295   0.53483729
 -0.53401422 -1.49227945]"
60,35,-340.83784402580926,0.3,-1.95,"[-1.1767071  -0.22037047  0.47534735 -0.11785526 -0.53944369 -0.45739167
 -0.66775432  0.04765362 -1.35853771 -0.89443903 -0.22016036 -1.00013746
 -0.14739365  0.75033185  0.57438274 -0.44657945 -0.29000524 -0.79729072
 -0.10663481  1.54294031  0.91362176  0.94293028  0.11147427 -0.93145407
  2.05117069 -0.46053439 -0.84508444 -1.25074876 -0.04562213  0.44859808
  2.0631369  -2.30969836]"
58,42,-140.59699489259762,0.24,-1.74,"[-0.05450227  2.93948584  1.64330423  0.05932171  0.40410099 -2.05839432
 -0.14749277  0.92898917  1.45598813 -2.51539155 -0.56744203  0.76970133
 -0.62902817 -2.01857092  1.54598494  2.63798714  0.37502341 -0.19529375
 -0.84536041 -0.4672231  -0.75267495  0.24050653 -0.03122316 -1.44076545
 -1.16063203 -1.97662777 -2.2120474  -0.7565055   1.08908275 -1.12533512
 -0.79094396  0.84293002]"
54,40,-281.51465375621325,0.12,-1.8,"[-0.81998942 -1.2030608  -0.51761972 -1.02620446  0.87608963 -0.7991928
  0.07838919 -0.21729884 -0.72187151  1.52078225  0.31668533 -1.64430899
  0.69701376 -0.33453047 -0.35521329  0.65010139 -0.06639506  0.15377354
  0.25896886 -2.43404919 -0.47252543  0.74891655 -0.68668242 -0.34850787
 -1.81352974  0.17870328 -0.35677755  0.12276172  2.14699086  2.05481853
  1.32074135 -1.02218639]"
